ID,Category,FileMaker Behavior,FMWeb Status,Gap Description,Complexity,Risk,Suggested Approach,Acceptance Criteria,Test Strategy,Evidence
BM-001,Browse Mode / Navigation,Users can switch modes reliably without losing context or causing render loops.,Implemented,Capability evidence is strong; recommend hardening/regression coverage to prevent drift.,S,Low,"Extend existing implementation paths in src/lib/browse-url-state.ts, src/lib/browse-url-state.ts and align behavior with expected FileMaker semantics.",Users can switch modes reliably without losing context or causing render loops.,Stress test repeated mode switches while editing and filtering records.,src/lib/browse-url-state.ts:1; src/lib/browse-url-state.ts:1; src/lib/browse-url-state.ts:2; src/lib/browse-url-state.ts:4; src/lib/browse-url-state.ts:12; src/lib/browse-url-state.ts:29
BM-002,Browse Mode / Navigation,First/prev/next/last and record jump update current record and status area consistently.,Implemented,Capability evidence is strong; recommend hardening/regression coverage to prevent drift.,S,Low,"Extend existing implementation paths in src/lib/runtime-kernel/foundset-store.ts, src/lib/runtime-kernel/foundset-store.ts and align behavior with expected FileMaker semantics.",First/prev/next/last and record jump update current record and status area consistently.,Integration tests for first/prev/next/last + jump input across view modes.,src/lib/runtime-kernel/foundset-store.ts:1; src/lib/runtime-kernel/foundset-store.ts:97; src/lib/runtime-kernel/foundset-store.ts:109; src/lib/runtime-kernel/foundset-store.ts:118; src/lib/runtime-kernel/foundset-store.ts:136; src/lib/runtime-kernel/foundset-store.ts:146
BM-003,Browse Mode / Find,"Find mode supports multiple requests, omit flags, and request navigation.",Implemented,Capability evidence is strong; recommend hardening/regression coverage to prevent drift.,S,Low,"Extend existing implementation paths in src/lib/find-mode.ts, src/lib/find-mode.ts and align behavior with expected FileMaker semantics.","Find mode supports multiple requests, omit flags, and request navigation.",Test add/duplicate/delete request and omit behavior against deterministic dataset.,src/lib/find-mode.ts:1; src/lib/find-mode.ts:3; src/lib/find-mode.ts:5; src/lib/find-mode.ts:7; src/lib/find-mode.ts:8; src/lib/find-mode.ts:25
BM-004,Browse Mode / Find,Found set commands modify active found set with clear status and deterministic behavior.,Implemented,Capability evidence is strong; recommend hardening/regression coverage to prevent drift.,S,Low,"Extend existing implementation paths in src/lib/find-mode.ts, src/lib/find-mode.ts and align behavior with expected FileMaker semantics.",Found set commands modify active found set with clear status and deterministic behavior.,Integration tests for constrain and extend preserving index when possible.,src/lib/find-mode.ts:1; src/lib/find-mode.ts:11; src/lib/find-mode.ts:453; src/lib/find-mode.ts:455; src/lib/find-mode.ts:461; src/lib/find-mode.ts:463
BM-005,Browse Mode / Find,"Users can save, run, modify, duplicate, and delete saved finds.",Implemented,Capability evidence is strong; recommend hardening/regression coverage to prevent drift.,S,Low,"Extend existing implementation paths in src/server/saved-search-storage.ts, src/server/saved-search-storage.ts and align behavior with expected FileMaker semantics.","Users can save, run, modify, duplicate, and delete saved finds.",Save/find/re-run/modify tests with persistence validation.,src/server/saved-search-storage.ts:1; src/server/saved-search-storage.ts:10; src/server/saved-search-storage.ts:16; src/server/saved-search-storage.ts:19; src/server/saved-search-storage.ts:44; src/server/saved-search-storage.ts:52
BM-006,Browse Mode / Found Sets,Users can persist found-set snapshots and reopen with graceful missing-record handling.,Implemented,Capability evidence is strong; recommend hardening/regression coverage to prevent drift.,S,Low,"Extend existing implementation paths in src/server/saved-search-storage.ts, src/server/saved-search-storage.ts and align behavior with expected FileMaker semantics.",Users can persist found-set snapshots and reopen with graceful missing-record handling.,Saved found set open should skip missing ids and report reconciliation summary.,src/server/saved-search-storage.ts:1; src/server/saved-search-storage.ts:30; src/server/saved-search-storage.ts:127; src/server/saved-search-storage.ts:128; src/server/saved-search-storage.ts:132; src/server/saved-search-storage.ts:174
BM-007,Browse Mode / Editing,"Leaving a field commits changes when allowed, without forcing explicit save each time.",Implemented,Capability evidence is strong; recommend hardening/regression coverage to prevent drift.,S,Low,"Extend existing implementation paths in app/api/layouts/[id]/route.ts, app/api/layouts/[id]/route.ts and align behavior with expected FileMaker semantics.","Leaving a field commits changes when allowed, without forcing explicit save each time.",Blur save test with record navigation and value persistence checks.,app/api/layouts/[id]/route.ts:71; app/api/layouts/[id]/route.ts:72; app/api/layouts/[id]/route.ts:77; app/api/layouts/[id]/route.ts:79; src/lib/edit-session/index.ts:1; src/lib/edit-session/index.ts:320
BM-008,Browse Mode / Editing,Dirty edits can be committed or reverted with prompts on navigation changes.,Implemented,Capability evidence is strong; recommend hardening/regression coverage to prevent drift.,S,Low,"Extend existing implementation paths in src/lib/edit-session/index.ts, src/lib/edit-session/index.ts and align behavior with expected FileMaker semantics.",Dirty edits can be committed or reverted with prompts on navigation changes.,Dirty prompt tests and per-record revert behavior validations.,src/lib/edit-session/index.ts:1; src/lib/edit-session/index.ts:16; src/lib/edit-session/index.ts:53; src/lib/edit-session/index.ts:110; src/lib/edit-session/index.ts:113; src/lib/edit-session/index.ts:115
BM-009,Browse Mode / Editing,Validation rules block invalid commits with field-level guidance.,Implemented,Capability evidence is strong; recommend hardening/regression coverage to prevent drift.,S,Low,"Extend existing implementation paths in src/lib/field-engine.ts, src/lib/field-engine.ts and align behavior with expected FileMaker semantics.",Validation rules block invalid commits with field-level guidance.,Validation failure tests for required/type/range/calc rules.,src/lib/field-engine.ts:1; src/lib/field-engine.ts:4; src/lib/field-engine.ts:7; src/lib/field-engine.ts:28; src/lib/field-engine.ts:32; src/lib/field-engine.ts:35
BM-010,Browse Mode / Editing,"Auto-enter options apply timestamps, account names, serials, and calc defaults at proper times.",Implemented,Capability evidence is strong; recommend hardening/regression coverage to prevent drift.,S,Low,"Extend existing implementation paths in src/lib/field-engine.ts, src/lib/field-engine.ts and align behavior with expected FileMaker semantics.","Auto-enter options apply timestamps, account names, serials, and calc defaults at proper times.",Create/update tests verifying auto-enter field values.,src/lib/field-engine.ts:1; src/lib/field-engine.ts:16; src/lib/field-engine.ts:19; src/lib/field-engine.ts:20; src/lib/field-engine.ts:21; src/lib/field-engine.ts:22
